Customer_ID,Customer_Name,Age,Gender,City,Segment,Transaction_ID,Product,Category,Quantity,Price,Payment_Method,Total_Sales
C001,Customer_1,58,Female,Hyderabad,Regular,T001,Headphones,Electronics,5,750,UPI,3750
C002,Customer_2,48,Male,Bangalore,Regular,T002,Laptop,Electronics,5,2500,Card,12500
C003,Customer_3,34,Female,Coimbatore,Premium,T003,Phone,Electronics,3,1500,UPI,4500
C004,Customer_4,27,Male,Hyderabad,Regular,T004,Keyboard,Accessories,4,1500,Card,6000
C005,Customer_5,40,Male,Chennai,New,T005,Phone,Accessories,1,2000,Card,2000
C006,Customer_6,58,Female,Coimbatore,New,T006,Phone,Electronics,4,750,Cash,3000
C007,Customer_7,38,Female,Chennai,Regular,T007,Laptop,Accessories,3,1500,UPI,4500
C008,Customer_8,42,Male,Chennai,Regular,T008,Tablet,Electronics,5,1500,UPI,7500
C009,Customer_9,30,Male,Bangalore,New,T009,Phone,Electronics,4,750,Cash,3000
C010,Customer_10,30,Female,Coimbatore,New,T010,Headphones,Accessories,5,750,Cash,3750
C011,Customer_11,43,Female,Coimbatore,Premium,T011,Tablet,Electronics,1,1500,Cash,1500
C012,Customer_12,55,Female,Bangalore,New,T012,Keyboard,Accessories,5,750,Cash,3750
C013,Customer_13,59,Male,Hyderabad,Premium,T013,Laptop,Accessories,5,1500,UPI,7500
C014,Customer_14,43,Male,Chennai,Premium,T014,Keyboard,Electronics,2,1500,UPI,3000
C015,Customer_15,22,Male,Delhi,Premium,T015,Tablet,Electronics,2,2000,Card,4000
C016,Customer_16,41,Male,Chennai,Premium,T016,Tablet,Accessories,2,500,Card,1000
C017,Customer_17,21,Male,Chennai,Premium,T017,Tablet,Electronics,5,1500,Cash,7500
C018,Customer_18,43,Male,Hyderabad,Regular,T018,Keyboard,Electronics,3,1000,Cash,3000
C019,Customer_19,49,Female,Chennai,New,T019,Tablet,Electronics,5,2500,Cash,12500
C020,Customer_20,57,Male,Bangalore,Premium,T020,Keyboard,Accessories,3,500,Card,1500
C021,Customer_21,21,Male,Bangalore,New,T021,Tablet,Accessories,3,500,Card,1500
C022,Customer_22,40,Male,Coimbatore,New,T022,Headphones,Electronics,2,500,Card,1000
C023,Customer_23,52,Female,Delhi,Premium,T023,Tablet,Accessories,4,2000,Card,8000
C024,Customer_24,31,Male,Chennai,Regular,T024,Keyboard,Accessories,1,1500,Card,1500
C025,Customer_25,41,Male,Chennai,Premium,T025,Phone,Accessories,2,2000,Card,4000
C026,Customer_26,44,Female,Hyderabad,Regular,T026,Tablet,Accessories,2,1500,Card,3000
C027,Customer_27,46,Male,Bangalore,New,T027,Phone,Accessories,4,2000,Cash,8000
C028,Customer_28,47,Male,Delhi,Regular,T028,Headphones,Electronics,1,2000,Cash,2000
C029,Customer_29,35,Male,Coimbatore,Regular,T029,Laptop,Electronics,5,2500,Cash,12500
C030,Customer_30,34,Male,Bangalore,Regular,T030,Headphones,Electronics,5,1000,Cash,5000
C031,Customer_31,22,Male,Coimbatore,New,T031,Tablet,Accessories,2,2000,Card,4000
C032,Customer_32,56,Female,Hyderabad,New,T032,Phone,Accessories,1,2500,UPI,2500
C033,Customer_33,26,Female,Hyderabad,Regular,T033,Phone,Electronics,2,750,Card,1500
C034,Customer_34,40,Female,Chennai,Regular,T034,Keyboard,Accessories,3,1000,UPI,3000
C035,Customer_35,28,Male,Delhi,Premium,T035,Phone,Electronics,2,2000,Cash,4000
C036,Customer_36,58,Male,Coimbatore,Regular,T036,Keyboard,Electronics,2,500,Card,1000
C037,Customer_37,37,Male,Bangalore,Premium,T037,Laptop,Electronics,5,750,Cash,3750
C038,Customer_38,23,Female,Hyderabad,Regular,T038,Tablet,Accessories,5,750,Card,3750
C039,Customer_39,44,Male,Chennai,Premium,T039,Keyboard,Accessories,5,2500,Cash,12500
C040,Customer_40,33,Male,Chennai,New,T040,Laptop,Electronics,3,750,UPI,2250
C041,Customer_41,28,Female,Coimbatore,Regular,T041,Phone,Electronics,5,1000,UPI,5000
C042,Customer_42,45,Male,Hyderabad,Regular,T042,Phone,Electronics,1,2000,UPI,2000
C043,Customer_43,21,Female,Delhi,Regular,T043,Laptop,Electronics,4,2000,Card,8000
C044,Customer_44,39,Female,Hyderabad,Regular,T044,Phone,Accessories,1,500,UPI,500
C045,Customer_45,47,Female,Coimbatore,Premium,T045,Laptop,Accessories,1,2500,Card,2500
C046,Customer_46,26,Male,Coimbatore,Regular,T046,Keyboard,Electronics,5,500,UPI,2500
C047,Customer_47,27,Male,Hyderabad,New,T047,Keyboard,Electronics,4,750,UPI,3000
C048,Customer_48,54,Male,Coimbatore,New,T048,Laptop,Accessories,4,500,Card,2000
C049,Customer_49,33,Male,Hyderabad,Regular,T049,Keyboard,Accessories,4,1000,Card,4000
C050,Customer_50,36,Male,Bangalore,New,T050,Keyboard,Electronics,3,2000,UPI,6000
C051,Customer_51,55,Male,Hyderabad,Regular,T051,Keyboard,Electronics,5,750,Card,3750
C052,Customer_52,59,Male,Hyderabad,Regular,T052,Headphones,Electronics,4,500,UPI,2000
C053,Customer_53,23,Female,Coimbatore,New,T053,Tablet,Accessories,3,2500,Card,7500
C054,Customer_54,21,Male,Coimbatore,Regular,T054,Phone,Accessories,2,1000,Cash,2000
C055,Customer_55,25,Female,Chennai,New,T055,Headphones,Accessories,2,1000,Cash,2000
